Year,Quarter,Energy,Unnamed: 3,Unnamed: 4,Unnamed: 5,Industrial Processes and Product Use,Agriculture,Waste,Total (excluding LULUCF),"Land Use, Land Use Change and Forestry (LULUCF)",National Inventory Total
,,Electricity,Stationary energy excl. electricity,Transport,Fugitive Emissions,,,,,,
,2005-03-01,48.812055620242525,19.82906991884071,19.702766888765474,8.945513531741632,7.8752806303977865,19.739855888734137,3.547955363633034,128.45249784235529,22.440484941529153,150.89298278388443
,2005-06-01,48.86850730108798,20.443658178411617,20.562637653209897,10.081128982884412,8.039017599131617,19.959187620831187,3.587377089895623,131.54151442545233,22.689823663101702,154.23133808855403
2005-06,2005-09-01,50.87523666747608,20.684759791470707,20.58860870489937,10.497073743830711,8.221248011010818,19.798234087562317,3.5733882547980946,134.2385492610481,21.188609013256876,155.42715827430496
,2005-12-01,48.94961491670996,20.490919809777083,21.87586382984154,9.838605182250406,7.960413854515908,19.798234087562317,3.5733882547980946,132.4870399354553,21.188609013256876,153.67564894871217
,2006-03-01,50.624288854741415,19.37881210401111,20.54030301689324,9.203987971390111,7.763922561334591,19.367837694354435,3.4957059014329186,130.37485810415782,20.727987078186075,151.1028451823439
,2006-06-01,50.86399112560543,20.63253422990073,20.497033362130132,10.570499046629632,8.00589993678893,19.583035890958378,3.5345470781155064,133.68754067012875,20.958298045721474,154.64583871585023
2006-07,2006-09-01,52.17291661738996,20.483728154777193,21.13463194661174,11.013246930063051,8.52741878616523,18.816114156574606,3.6589029725961257,135.80695956417793,24.629458326362528,160.43641789054047
,2006-12-01,50.84750483290382,20.980743463951388,21.90766516102253,10.324081539467432,8.631994888211885,18.816114156574606,3.6589029725961257,135.16700701472777,24.629458326362528,159.7964653410903
,2007-03-01,51.629455089558796,19.70337269036461,21.072524682756494,9.747775541682499,8.441088530320837,18.40706819664907,3.5793616036266442,132.58064633495894,24.09403531926769,156.67468165422662
,2007-06-01,49.475127237370586,20.55969531082894,21.340226076193527,11.11807287018945,8.610144179505797,18.61159117661184,3.619132288111385,133.33398913881152,24.361746822815107,157.6957359616266
2007-08,2007-09-01,53.524378671521916,21.30973048570382,21.604758267176784,11.85900662113677,8.69841332809054,18.13498203989886,3.768437141539509,138.8997065550682,20.784948529380923,159.68465508444913
,2007-12-01,50.28911487131944,21.221206454694855,22.14011849349788,10.004994872110624,8.598867327814238,18.13498203989886,3.768437141539509,134.15772120087541,20.784948529380923,154.94266973025634
